,ingrediente,risk,function,frecuencia,info,Cantidad de Rubros,Rubros,Cuartiles
LINALOOL,LINALOOL,4.0,"DEODORANT, PERFUMING",0.5,"Ingrediente presente en la muchos de los aceites esenciales usados en productos de Belleza y Cuidado Personal, natural. En su forma pura sus efectos alérgenos son muy bajos. Sin embargo, en contacto con el aire, el Linalool puede oxidarse, dando lugar a la formación de productos con características alergénicas e irritantes para la piel.",30.0,"['Niños, Protectores Solares', 'Cuidado del Bebé, Para el Baño', 'Cuidado Facial, Limpiador Facial', 'Cuidado corporal, Jabones', 'Cuidado del Cabello, Shampoo', 'Cuidado Corporal, Protectores Solares', 'Cuidado Facial, Antiarrugas', 'Cuidado Facial, Protectores Solares', 'Cuidado Corporal, Manos y Pies', 'Cuidado del Cabello, Crema para peinar', 'Cuidado Corporal, Exfoliante', 'Cuidado Corporal, Desodorante de Mujer', 'Limpieza de Baño, Desinfectantes de Baño', 'Cuidado del Bebé, Para Antes o Después del Baño', 'Cuidado del Cabello, Tratamiento Capilar', 'Cuidado Corporal, Hidratantes', 'Protectores Solares, Labial', 'Cuidado Facial, Humectante', 'Cuidado Facial, Hidratantes', 'Cuidado del Cabello, Acondicionador', 'Cuidado Corporal, Desodorantes', 'Cuidado Corporal, Jabones', 'Cuidado Corporal, Desodorante de Hombre', 'Cuidado Corporal, Crema Corporal', 'Cuidado Corporal, Cremas Corporales', 'Cuidado Corporal, Lociones Corporales', 'Cuidado Corporal, Geles de Baño', 'Desodorantes de Ambientes, Aerosoles', 'Limpieza de la Cocina, Detergentes', 'Cuidado Facial, Limpieza Facial']","Q3 ,Q4 ,Q2"
LIMONENE,LIMONENE,4.0,"DEODORANT, PERFUMING, SOLVENT",0.419,"Ingrediente potencialmente irritante para la piel, peligroso para la vida acuática y con efectos duraderos en el ambiente.",30.0,"['Niños, Protectores Solares', 'Cuidado del Bebé, Para el Baño', 'Niños, Espuma de Baño Infantil', 'Niños, Crema Dental', 'Cuidado Corporal, Talcos', 'Niños, Shampoo', 'Cuidado del Cabello, Shampoo', 'Cuidado Corporal, Protectores Solares', 'Cuidado Facial, Antiarrugas', 'Cuidado Facial, Protectores Solares', 'Cuidado Corporal, Manos y Pies', 'Cuidado del Cabello, Crema para peinar', 'Cuidado Corporal, Desodorante de Mujer', 'Limpieza de Baño, Desinfectantes de Baño', 'Cuidado del Bebé, Para Antes o Después del Baño', 'Cuidado del Cabello, Tratamiento Capilar', 'Cuidado Corporal, Hidratantes', 'Cuidado Oral, Enjuague Bucal', 'Protectores Solares, Labial', 'Cuidado Facial, Hidratantes', 'Cuidado del Cabello, Acondicionador', 'Cuidado Corporal, Desodorantes', 'Cuidado Corporal, Jabones', 'Cuidado Corporal, Desodorante de Hombre', 'Cuidado Corporal, Crema Corporal', 'Cuidado Corporal, Cremas Corporales', 'Cuidado Corporal, Lociones Corporales', 'Cuidado Corporal, Geles de Baño', 'Cuidado Facial, Limpieza Facial', 'Cuidado Oral, Crema Dental']","Q3 ,Q4 ,Q2"
DISODIUM EDTA,DISODIUM EDTA,3.0,"CHELATING, VISCOSITY CONTROLLING",0.323,Ingrediente generalmente considerado seguro para su uso en productos de Belleza y Cuidado Personal. Potencialmente bioacumulable y peligroso para el ambiente.,24.0,"['Niños, Protectores Solares', 'Cuidado del Bebé, Para el Baño', 'Cuidado Corporal, Talcos', 'Cuidado Facial, Cremas Hidratantes', 'Cuidado del Cabello, Shampoo', 'Cuidado Corporal, Protectores Solares', 'Cuidado Facial, Antiarrugas', 'Cuidado Facial, Protectores Solares', 'Cuidado Corporal, Manos y Pies', 'Cuidado Corporal, Exfoliante', 'Cuidado Corporal, Desodorante de Mujer', 'Cosmeticos, Maquillaje', 'Cuidado del Bebé, Para Antes o Después del Baño', 'Cuidado del Cabello, Tratamiento Capilar', 'Cuidado Facial, Humectante', 'Cuidado Facial, Hidratantes', 'Cuidado del Cabello, Acondicionador', 'Cuidado Corporal, Desodorantes', 'Cuidado Corporal, Bronceadores', 'Cuidado Corporal, Desodorante de Hombre', 'Cuidado Facial, Exfoliante', 'Cuidado Corporal, Cremas Corporales', 'Cuidado Corporal, Lociones Corporales', 'Cuidado Facial, Limpieza Facial']","Q3 ,Q4 ,Q2"
0,0,3.0,"PERFUMING, TONIC",0.323,Ingrediente potencialmente irritante para la piel.,24.0,"['Niños, Protectores Solares', 'Cuidado del Bebé, Para el Baño', 'Cuidado Facial, Limpiador Facial', 'Cuidado corporal, Jabones', 'Cuidado del Cabello, Shampoo', 'Cuidado Corporal, Protectores Solares', 'Cuidado Facial, Antiarrugas', 'Cuidado Facial, Protectores Solares', 'Cuidado Corporal, Manos y Pies', 'Cuidado Corporal, Desodorante de Mujer', 'Cuidado del Bebé, Para Antes o Después del Baño', 'Cuidado del Cabello, Tratamiento Capilar', 'Cuidado Corporal, Hidratantes', 'Cuidado Facial, Humectante', 'Cuidado Facial, Hidratantes', 'Cuidado del Cabello, Acondicionador', 'Cuidado Corporal, Desodorantes', 'Cuidado Corporal, Jabones', 'Cuidado Corporal, Desodorante de Hombre', 'Cuidado Corporal, Crema Corporal', 'Cuidado Corporal, Cremas Corporales', 'Cuidado Corporal, Lociones Corporales', 'Desodorantes de Ambientes, Aerosoles', 'Cuidado Facial, Limpieza Facial']","Q3 ,Q4"
BENZYL ALCOHOL,BENZYL ALCOHOL,5.0,"PERFUMING, PRESERVATIVE, SOLVENT, VISCOSITY CONTROLLING",0.306,Ingrediente potencialmente alergénico y sensibilizador de la piel.,23.0,"['Niños, Protectores Solares', 'Niños, Crema Dental', 'Cuidado del Cabello, Shampoo', 'Cuidado Corporal, Protectores Solares', 'Cuidado Facial, Antiarrugas', 'Cuidado Facial, Protectores Solares', 'Cuidado Corporal, Manos y Pies', 'Cuidado del Cabello, Crema para peinar', 'Cuidado Corporal, Exfoliante', 'Cuidado del Bebé, Para Antes o Después del Baño', 'Cuidado del Cabello, Tratamiento Capilar', 'Protectores Solares, Labial', 'Cuidado Facial, Hidratantes', 'Cuidado del Cabello, Acondicionador', 'Cuidado Corporal, Desodorantes', 'Cuidado Corporal, Jabones', 'Cosmeticos, Labiales', 'Cuidado Facial, Exfoliante', 'Cuidado Corporal, Cremas Corporales', 'Cuidado Corporal, Lociones Corporales', 'Cuidado Corporal, Geles de Baño', 'Cuidado Facial, Limpieza Facial', 'Cuidado Oral, Crema Dental']","Q3 ,Q4 ,Q2"
CITRONELLOL,CITRONELLOL,3.0,PERFUMING,0.274,Ingrediente potencialmente irritante para la piel.,23.0,"['Cuidado del Bebé, Para el Baño', 'Cuidado Facial, Limpiador Facial', 'Cuidado Corporal, Talcos', 'Cuidado corporal, Jabones', 'Cuidado del Cabello, Shampoo', 'Cuidado Corporal, Protectores Solares', 'Cuidado Facial, Antiarrugas', 'Cuidado Facial, Protectores Solares', 'Cuidado Corporal, Manos y Pies', 'Cuidado Corporal, Desodorante de Mujer', 'Cuidado del Bebé, Para Antes o Después del Baño', 'Cuidado del Cabello, Tratamiento Capilar', 'Cuidado Facial, Humectante', 'Cuidado de Ropa, Jabones de Lavar', 'Cuidado Facial, Hidratantes', 'Cuidado del Cabello, Acondicionador', 'Cuidado Corporal, Desodorantes', 'Cuidado Corporal, Jabones', 'Cuidado Corporal, Desodorante de Hombre', 'Cuidado Corporal, Cremas Corporales', 'Cuidado Corporal, Lociones Corporales', 'Desodorantes de Ambientes, Aerosoles', 'Cuidado Facial, Limpieza Facial']","Q3 ,Q4 ,Q2"
HEXYL CINNAMAL,HEXYL CINNAMAL,5.0,PERFUMING,0.129,Ingrediente potencialmente irritante y sensibilizador de la piel y potencialmente peligroso para la vida acuática.,21.0,"['Niños, Protectores Solares', 'Cuidado Facial, Limpiador Facial', 'Cuidado Corporal, Talcos', 'Cuidado corporal, Jabones', 'Cuidado del Cabello, Shampoo', 'Cuidado Corporal, Protectores Solares', 'Cuidado Facial, Antiarrugas', 'Cuidado Facial, Protectores Solares', 'Cuidado del Cabello, Crema para peinar', 'Cuidado Corporal, Desodorante de Mujer', 'Cuidado del Bebé, Para Antes o Después del Baño', 'Cuidado del Cabello, Tratamiento Capilar', 'Cuidado Facial, Hidratantes', 'Cuidado del Cabello, Acondicionador', 'Cuidado Corporal, Desodorantes', 'Cuidado Corporal, Jabones', 'Cuidado Corporal, Bronceadores', 'Cuidado Corporal, Desodorante de Hombre', 'Cuidado Facial, Exfoliante', 'Cuidado Corporal, Cremas Corporales', 'Limpieza de la Cocina, Detergentes']","Q3 ,Q4"
