,ingrediente,risk,function,frecuencia,info,Cantidad de Rubros,Rubros,Cuartiles
BUTYL METHOXYDIBENZOYLMETHANE,BUTYL METHOXYDIBENZOYLMETHANE,8.1,"UV ABSORBER, UV FILTER",0.769,Ingrediente potencialmente irritante y sensibilizador de la piel. Otros riesgos potenciales se encuentran en proceso de evaluación. Su uso en productos de Belleza y Cuidado Personal está sujeto a limitaciones de concentración y restricciones de manufactura.,8.0,"['Cuidado Corporal, Jabones', 'Cuidado Corporal, Protectores Solares', 'Cuidado Facial, Protectores Solares', 'Cuidado Corporal, Cremas Corporales', 'Protectores Solares, Labial', 'Cuidado Facial, Hidratantes', 'Cuidado Corporal, Lociones Corporales', 'Niños, Protectores Solares']","Q2 ,Q1 ,Q3"
OCTOCRYLENE,OCTOCRYLENE,8.3,"UV ABSORBER, UV FILTER",0.538,Existen restricciones en cuanto a la concentración máxima permitida y el tipo de formulaciones en los que puede utilizarse este ingrediente. Es potencialmente alergénico (o foto-alergénico) y peligroso para la vida acuática.,6.0,"['Cuidado Corporal, Protectores Solares', 'Cuidado Facial, Protectores Solares', 'Cuidado Corporal, Cremas Corporales', 'Protectores Solares, Labial', 'Cuidado Facial, Hidratantes', 'Niños, Protectores Solares']","Q2 ,Q1"
