,ingrediente,risk,function,frecuencia,info,Cantidad de Rubros,Rubros,Cuartiles
LINALOOL,LINALOOL,4.0,"DEODORANT, PERFUMING",1.0,"Ingrediente presente en la muchos de los aceites esenciales usados en productos de Belleza y Cuidado Personal, natural. En su forma pura sus efectos alérgenos son muy bajos. Sin embargo, en contacto con el aire, el Linalool puede oxidarse, dando lugar a la formación de productos con características alergénicas e irritantes para la piel.",30.0,"['Niños, Protectores Solares', 'Cuidado del Bebé, Para el Baño', 'Cuidado Facial, Limpiador Facial', 'Cuidado corporal, Jabones', 'Cuidado del Cabello, Shampoo', 'Cuidado Corporal, Protectores Solares', 'Cuidado Facial, Antiarrugas', 'Cuidado Facial, Protectores Solares', 'Cuidado Corporal, Manos y Pies', 'Cuidado del Cabello, Crema para peinar', 'Cuidado Corporal, Exfoliante', 'Cuidado Corporal, Desodorante de Mujer', 'Limpieza de Baño, Desinfectantes de Baño', 'Cuidado del Bebé, Para Antes o Después del Baño', 'Cuidado del Cabello, Tratamiento Capilar', 'Cuidado Corporal, Hidratantes', 'Protectores Solares, Labial', 'Cuidado Facial, Humectante', 'Cuidado Facial, Hidratantes', 'Cuidado del Cabello, Acondicionador', 'Cuidado Corporal, Desodorantes', 'Cuidado Corporal, Jabones', 'Cuidado Corporal, Desodorante de Hombre', 'Cuidado Corporal, Crema Corporal', 'Cuidado Corporal, Cremas Corporales', 'Cuidado Corporal, Lociones Corporales', 'Cuidado Corporal, Geles de Baño', 'Desodorantes de Ambientes, Aerosoles', 'Limpieza de la Cocina, Detergentes', 'Cuidado Facial, Limpieza Facial']",Q3
LIMONENE,LIMONENE,4.0,"DEODORANT, PERFUMING, SOLVENT",1.0,"Ingrediente potencialmente irritante para la piel, peligroso para la vida acuática y con efectos duraderos en el ambiente.",30.0,"['Niños, Protectores Solares', 'Cuidado del Bebé, Para el Baño', 'Niños, Espuma de Baño Infantil', 'Niños, Crema Dental', 'Cuidado Corporal, Talcos', 'Niños, Shampoo', 'Cuidado del Cabello, Shampoo', 'Cuidado Corporal, Protectores Solares', 'Cuidado Facial, Antiarrugas', 'Cuidado Facial, Protectores Solares', 'Cuidado Corporal, Manos y Pies', 'Cuidado del Cabello, Crema para peinar', 'Cuidado Corporal, Desodorante de Mujer', 'Limpieza de Baño, Desinfectantes de Baño', 'Cuidado del Bebé, Para Antes o Después del Baño', 'Cuidado del Cabello, Tratamiento Capilar', 'Cuidado Corporal, Hidratantes', 'Cuidado Oral, Enjuague Bucal', 'Protectores Solares, Labial', 'Cuidado Facial, Hidratantes', 'Cuidado del Cabello, Acondicionador', 'Cuidado Corporal, Desodorantes', 'Cuidado Corporal, Jabones', 'Cuidado Corporal, Desodorante de Hombre', 'Cuidado Corporal, Crema Corporal', 'Cuidado Corporal, Cremas Corporales', 'Cuidado Corporal, Lociones Corporales', 'Cuidado Corporal, Geles de Baño', 'Cuidado Facial, Limpieza Facial', 'Cuidado Oral, Crema Dental']",Q3
