,ingrediente,risk,function,frecuencia,info,Cantidad de Rubros,Rubros,Cuartiles
BUTYL METHOXYDIBENZOYLMETHANE,BUTYL METHOXYDIBENZOYLMETHANE,8.1,"UV ABSORBER, UV FILTER",1.0,Ingrediente potencialmente irritante y sensibilizador de la piel. Otros riesgos potenciales se encuentran en proceso de evaluación. Su uso en productos de Belleza y Cuidado Personal está sujeto a limitaciones de concentración y restricciones de manufactura.,9,"['Niños, Protectores Solares', 'Cuidado Facial, Cremas Hidratantes', 'Cuidado Corporal, Protectores Solares', 'Cuidado Facial, Protectores Solares', 'Protectores Solares, Labial', 'Cuidado Facial, Hidratantes', 'Cuidado Corporal, Jabones', 'Cuidado Corporal, Cremas Corporales', 'Cuidado Corporal, Lociones Corporales']",Q1
OCTOCRYLENE,OCTOCRYLENE,8.3,"UV ABSORBER, UV FILTER",1.0,Existen restricciones en cuanto a la concentración máxima permitida y el tipo de formulaciones en los que puede utilizarse este ingrediente. Es potencialmente alergénico (o foto-alergénico) y peligroso para la vida acuática.,7,"['Niños, Protectores Solares', 'Cuidado Facial, Cremas Hidratantes', 'Cuidado Corporal, Protectores Solares', 'Cuidado Facial, Protectores Solares', 'Protectores Solares, Labial', 'Cuidado Facial, Hidratantes', 'Cuidado Corporal, Cremas Corporales']",Q1
