,ingrediente,risk,function,frecuencia,info,Cantidad de Rubros,Rubros,Cuartiles
DISODIUM EDTA,DISODIUM EDTA,3.0,"CHELATING, VISCOSITY CONTROLLING",1.0,Ingrediente generalmente considerado seguro para su uso en productos de Belleza y Cuidado Personal. Potencialmente bioacumulable y peligroso para el ambiente.,24,"['Niños, Protectores Solares', 'Cuidado del Bebé, Para el Baño', 'Cuidado Corporal, Talcos', 'Cuidado Facial, Cremas Hidratantes', 'Cuidado del Cabello, Shampoo', 'Cuidado Corporal, Protectores Solares', 'Cuidado Facial, Antiarrugas', 'Cuidado Facial, Protectores Solares', 'Cuidado Corporal, Manos y Pies', 'Cuidado Corporal, Exfoliante', 'Cuidado Corporal, Desodorante de Mujer', 'Cosmeticos, Maquillaje', 'Cuidado del Bebé, Para Antes o Después del Baño', 'Cuidado del Cabello, Tratamiento Capilar', 'Cuidado Facial, Humectante', 'Cuidado Facial, Hidratantes', 'Cuidado del Cabello, Acondicionador', 'Cuidado Corporal, Desodorantes', 'Cuidado Corporal, Bronceadores', 'Cuidado Corporal, Desodorante de Hombre', 'Cuidado Facial, Exfoliante', 'Cuidado Corporal, Cremas Corporales', 'Cuidado Corporal, Lociones Corporales', 'Cuidado Facial, Limpieza Facial']",Q2
CITRONELLOL,CITRONELLOL,3.0,PERFUMING,1.0,Ingrediente potencialmente irritante para la piel.,23,"['Cuidado del Bebé, Para el Baño', 'Cuidado Facial, Limpiador Facial', 'Cuidado Corporal, Talcos', 'Cuidado corporal, Jabones', 'Cuidado del Cabello, Shampoo', 'Cuidado Corporal, Protectores Solares', 'Cuidado Facial, Antiarrugas', 'Cuidado Facial, Protectores Solares', 'Cuidado Corporal, Manos y Pies', 'Cuidado Corporal, Desodorante de Mujer', 'Cuidado del Bebé, Para Antes o Después del Baño', 'Cuidado del Cabello, Tratamiento Capilar', 'Cuidado Facial, Humectante', 'Cuidado de Ropa, Jabones de Lavar', 'Cuidado Facial, Hidratantes', 'Cuidado del Cabello, Acondicionador', 'Cuidado Corporal, Desodorantes', 'Cuidado Corporal, Jabones', 'Cuidado Corporal, Desodorante de Hombre', 'Cuidado Corporal, Cremas Corporales', 'Cuidado Corporal, Lociones Corporales', 'Desodorantes de Ambientes, Aerosoles', 'Cuidado Facial, Limpieza Facial']",Q3
