,ingrediente,risk,function,frecuencia,info,Cantidad de Rubros,Rubros,Cuartiles
BENZYL ALCOHOL,BENZYL ALCOHOL,5.0,"PERFUMING, PRESERVATIVE, SOLVENT, VISCOSITY CONTROLLING",0.8,Ingrediente potencialmente alergénico y sensibilizador de la piel.,23,"['Cuidado Corporal, Jabones', 'Cuidado Corporal, Manos y Pies', 'Cuidado Corporal, Exfoliante', 'Cuidado Corporal, Protectores Solares', 'Cuidado Oral, Crema Dental', 'Cuidado del Cabello, Crema para peinar', 'Cuidado del Cabello, Acondicionador', 'Cuidado Facial, Exfoliante', 'Cuidado Facial, Protectores Solares', 'Cuidado Corporal, Cremas Corporales', 'Protectores Solares, Labial', 'Cosmeticos, Labiales', 'Cuidado Facial, Hidratantes', 'Cuidado Facial, Antiarrugas', 'Cuidado Facial, Limpieza Facial', 'Cuidado del Cabello, Shampoo', 'Cuidado Corporal, Desodorantes', 'Cuidado del Bebé, Para Antes o Después del Baño', 'Cuidado Corporal, Lociones Corporales', 'Niños, Protectores Solares', 'Cuidado Corporal, Geles de Baño', 'Niños, Crema Dental', 'Cuidado del Cabello, Tratamiento Capilar']","Q2 ,Q1"
LINALOOL,LINALOOL,4.0,"DEODORANT, PERFUMING",0.2,"Ingrediente presente en la muchos de los aceites esenciales usados en productos de Belleza y Cuidado Personal, natural. En su forma pura sus efectos alérgenos son muy bajos. Sin embargo, en contacto con el aire, el Linalool puede oxidarse, dando lugar a la formación de productos con características alergénicas e irritantes para la piel.",28,"['Cuidado Corporal, Jabones', 'Cuidado Corporal, Manos y Pies', 'Cuidado Corporal, Desodorante de Hombre', 'Cuidado Corporal, Exfoliante', 'Cuidado Corporal, Protectores Solares', 'Cuidado del Cabello, Crema para peinar', 'Desodorantes de Ambientes, Aerosoles', 'Cuidado del Cabello, Acondicionador', 'Cuidado Facial, Protectores Solares', 'Cuidado Facial, Limpiador Facial', 'Cuidado Corporal, Cremas Corporales', 'Protectores Solares, Labial', 'Cuidado Facial, Hidratantes', 'Cuidado Facial, Antiarrugas', 'Cuidado Facial, Limpieza Facial', 'Cuidado del Bebé, Para el Baño', 'Cuidado del Cabello, Shampoo', 'Cuidado Corporal, Desodorantes', 'Limpieza de Baño, Desinfectantes de Baño', 'Cuidado Corporal, Desodorante de Mujer', 'Cuidado del Bebé, Para Antes o Después del Baño', 'Cuidado Corporal, Lociones Corporales', 'Cuidado Facial, Humectante', 'Cuidado Corporal, Hidratantes', 'Niños, Protectores Solares', 'Cuidado Corporal, Geles de Baño', 'Limpieza de Cocina, Detergentes', 'Cuidado del Cabello, Tratamiento Capilar']",Q3
