,ingrediente,risk,function,frecuencia,info,Cantidad de Rubros,Rubros,Cuartiles
0,0,3.0,"PERFUMING, TONIC",0.5,Ingrediente potencialmente irritante para la piel.,24.0,"['Cuidado Corporal, Hidratantes', 'Cuidado Facial, Antiarrugas', 'Cuidado Corporal, Manos y Pies', 'Cuidado del Cabello, Tratamiento Capilar', 'Cuidado Corporal, Cremas Corporales', 'Cuidado Corporal, Lociones Corporales', 'Desodorantes de Ambientes, Aerosoles', 'Cuidado Corporal, Desodorantes', 'Cuidado del Cabello, Acondicionador', 'Cuidado Facial, Limpieza Facial', 'Cuidado del Bebé, Para el Baño', 'Cuidado Facial, Hidratantes', 'Cuidado del Cabello, Shampoo', 'Cuidado Corporal, Jabones', 'Cuidado corporal, Jabones', 'Cuidado Corporal, Crema Corporal', 'Cuidado Corporal, Protectores Solares', 'Cuidado Facial, Protectores Solares', 'Cuidado Corporal, Desodorante de Mujer', 'Cuidado del Bebé, Para Antes o Después del Baño', 'Cuidado Facial, Humectante', 'Cuidado Corporal, Desodorante de Hombre', 'Cuidado Facial, Limpiador Facial', 'Niños, Protectores Solares']",Q4
LINALOOL,LINALOOL,4.0,"DEODORANT, PERFUMING",0.5,"Ingrediente presente en la muchos de los aceites esenciales usados en productos de Belleza y Cuidado Personal, natural. En su forma pura sus efectos alérgenos son muy bajos. Sin embargo, en contacto con el aire, el Linalool puede oxidarse, dando lugar a la formación de productos con características alergénicas e irritantes para la piel.",30.0,"['Cuidado Corporal, Hidratantes', 'Protectores Solares, Labial', 'Cuidado del Cabello, Crema para peinar', 'Cuidado Facial, Antiarrugas', 'Cuidado Corporal, Manos y Pies', 'Cuidado del Cabello, Tratamiento Capilar', 'Cuidado Corporal, Cremas Corporales', 'Cuidado Corporal, Lociones Corporales', 'Cuidado Corporal, Exfoliante', 'Limpieza de Baño, Desinfectantes de Baño', 'Desodorantes de Ambientes, Aerosoles', 'Cuidado Corporal, Desodorantes', 'Cuidado del Cabello, Acondicionador', 'Cuidado Facial, Limpieza Facial', 'Cuidado del Bebé, Para el Baño', 'Cuidado Facial, Hidratantes', 'Cuidado Corporal, Geles de Baño', 'Cuidado del Cabello, Shampoo', 'Cuidado Corporal, Jabones', 'Cuidado corporal, Jabones', 'Cuidado Corporal, Crema Corporal', 'Cuidado Corporal, Protectores Solares', 'Cuidado Facial, Protectores Solares', 'Cuidado Corporal, Desodorante de Mujer', 'Cuidado del Bebé, Para Antes o Después del Baño', 'Cuidado Facial, Humectante', 'Cuidado Corporal, Desodorante de Hombre', 'Cuidado Facial, Limpiador Facial', 'Niños, Protectores Solares', 'Limpieza de la Cocina, Detergentes']",Q4
CITRONELLOL,CITRONELLOL,3.0,PERFUMING,0.5,Ingrediente potencialmente irritante para la piel.,23.0,"['Cuidado Corporal, Talcos', 'Cuidado Facial, Antiarrugas', 'Cuidado Corporal, Manos y Pies', 'Cuidado del Cabello, Tratamiento Capilar', 'Cuidado Corporal, Cremas Corporales', 'Cuidado Corporal, Lociones Corporales', 'Desodorantes de Ambientes, Aerosoles', 'Cuidado Corporal, Desodorantes', 'Cuidado del Cabello, Acondicionador', 'Cuidado Facial, Limpieza Facial', 'Cuidado del Bebé, Para el Baño', 'Cuidado Facial, Hidratantes', 'Cuidado del Cabello, Shampoo', 'Cuidado Corporal, Jabones', 'Cuidado corporal, Jabones', 'Cuidado Corporal, Protectores Solares', 'Cuidado Facial, Protectores Solares', 'Cuidado Corporal, Desodorante de Mujer', 'Cuidado de Ropa, Jabones de Lavar', 'Cuidado del Bebé, Para Antes o Después del Baño', 'Cuidado Facial, Humectante', 'Cuidado Corporal, Desodorante de Hombre', 'Cuidado Facial, Limpiador Facial']",Q4
HEXYL CINNAMAL,HEXYL CINNAMAL,5.0,PERFUMING,0.5,Ingrediente potencialmente irritante y sensibilizador de la piel y potencialmente peligroso para la vida acuática.,21.0,"['Cuidado Corporal, Talcos', 'Cuidado del Cabello, Crema para peinar', 'Cuidado Facial, Antiarrugas', 'Cuidado del Cabello, Tratamiento Capilar', 'Cuidado Corporal, Cremas Corporales', 'Cuidado Corporal, Desodorantes', 'Cuidado del Cabello, Acondicionador', 'Cuidado Corporal, Bronceadores', 'Cuidado Facial, Hidratantes', 'Cuidado del Cabello, Shampoo', 'Cuidado Corporal, Jabones', 'Cuidado corporal, Jabones', 'Cuidado Corporal, Protectores Solares', 'Cuidado Facial, Protectores Solares', 'Cuidado Corporal, Desodorante de Mujer', 'Cuidado del Bebé, Para Antes o Después del Baño', 'Cuidado Facial, Exfoliante', 'Cuidado Corporal, Desodorante de Hombre', 'Cuidado Facial, Limpiador Facial', 'Niños, Protectores Solares', 'Limpieza de la Cocina, Detergentes']",Q4
