,ingrediente,risk,function,frecuencia,info,Cantidad de Rubros,Rubros,Cuartiles
HEXYL CINNAMAL,HEXYL CINNAMAL,5.0,PERFUMING,0.083,Ingrediente potencialmente irritante y sensibilizador de la piel y potencialmente peligroso para la vida acuática.,21.0,"['Cuidado Facial, Protectores Solares', 'Cuidado del Cabello, Tratamiento Capilar', 'Cuidado Corporal, Manos y Pies', 'Cuidado Corporal, Desodorantes', 'Cuidado Facial, Exfoliante', 'Cuidado del Cabello, Shampoo', 'Cuidado Corporal, Desodorante de Hombre', 'Cuidado del Bebé, Para Antes o Después del Baño', 'Cuidado Facial, Limpiador Facial', 'Cuidado del Cabello, Crema para peinar', 'Cuidado Corporal, Protectores Solares', 'Niños, Protectores Solares', '--', 'Cuidado Facial, Antiarrugas', 'Cuidado Corporal, Bronceadores', 'Cuidado Corporal, Jabones', 'Cuidado Corporal, Cremas Corporales', 'Limpieza de la Cocina, Detergentes', 'Cuidado Corporal, Desodorante de Mujer', 'Cuidado del Cabello, Acondicionador', 'Cuidado Facial, Hidratantes']",Q3
LINALOOL,LINALOOL,4.0,"DEODORANT, PERFUMING",0.083,"Ingrediente presente en la muchos de los aceites esenciales usados en productos de Belleza y Cuidado Personal, natural. En su forma pura sus efectos alérgenos son muy bajos. Sin embargo, en contacto con el aire, el Linalool puede oxidarse, dando lugar a la formación de productos con características alergénicas e irritantes para la piel.",29.0,"['Cuidado Facial, Protectores Solares', 'Cuidado del Cabello, Tratamiento Capilar', 'Cuidado Corporal, Manos y Pies', 'Cuidado Corporal, Desodorantes', 'Limpieza de Baño, Desinfectantes de Baño', 'Protectores Solares, Labial', 'Cuidado Corporal, Exfoliante', 'Cuidado Corporal, Hidratantes', 'Cuidado Corporal, Lociones Corporales', 'Cuidado del Cabello, Shampoo', 'Cuidado Corporal, Desodorante de Hombre', 'Cuidado del Bebé, Para Antes o Después del Baño', 'Cuidado Facial, Limpiador Facial', 'Cuidado del Cabello, Crema para peinar', 'Cuidado Corporal, Protectores Solares', 'Cuidado del Bebé, Para el Baño', 'Niños, Protectores Solares', 'Cuidado Facial, Limpieza Facial', '--', 'Cuidado Facial, Antiarrugas', 'Cuidado Corporal, Jabones', 'Cuidado Facial, Humectante', 'Desodorantes de Ambientes, Aerosoles', 'Cuidado Corporal, Cremas Corporales', 'Limpieza de la Cocina, Detergentes', 'Cuidado Corporal, Geles de Baño', 'Cuidado Corporal, Desodorante de Mujer', 'Cuidado del Cabello, Acondicionador', 'Cuidado Facial, Hidratantes']",Q3
